year,turnout,level
2006,64.81363636363636,Federal
2008,56.23181818181818,Federal
2011,59.904545454545456,Federal
2015,64.468,Federal
2019,64.468,Federal
2021,58.123999999999995,Federal
2003,56.03079714664102,Provincial
2007,50.285320029931675,Provincial
2011,47.67423836895211,Provincial
2014,50.08640653793196,Provincial
2018,55.22809622046792,Provincial
2022,43.425686536666184,Provincial
2006,40.35873541951235,Municipal
2010,48.78056688697752,Municipal
2014,48.57080514272709,Municipal
2018,37.61235294117647,Municipal
2022,27.176712328767124,Municipal
